
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	341
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
16012	Igfbp6	insulin-like growth factor binding protein 6 [Source:MGI Symbol;Acc:MGI:96441]						GOCC_EXTRACELLULAR_SPACE																GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION													GOBP_INTRACELLULAR_SIGNALING_CASSETTE								GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION				GOBP_CELL_MOTILITY																							GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE																												
16010	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]						GOCC_EXTRACELLULAR_SPACE																GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION													GOBP_INTRACELLULAR_SIGNALING_CASSETTE										GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION																																																		GOBP_GROWTH					
19124	Procr	protein C receptor, endothelial [Source:MGI Symbol;Acc:MGI:104596]						GOCC_EXTRACELLULAR_SPACE																		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																																																																												
110595	Timp4	tissue inhibitor of metalloproteinase 4 [Source:MGI Symbol;Acc:MGI:109125]						GOCC_EXTRACELLULAR_SPACE																			GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																																															GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE																												
16790	Anpep	alanyl aminopeptidase, membrane [Source:MGI Symbol;Acc:MGI:5000466]						GOCC_EXTRACELLULAR_SPACE																							GOCC_PLASMA_MEMBRANE_REGION		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS																					GOBP_TUBE_DEVELOPMENT						GOCC_CELL_SURFACE										GOBP_REGULATION_OF_BLOOD_PRESSURE								GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																			GOBP_TUBE_MORPHOGENESIS				
12351	Car4	carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]						GOCC_EXTRACELLULAR_SPACE																							GOCC_PLASMA_MEMBRANE_REGION																														GOCC_CELL_SURFACE																			GOCC_SECRETORY_VESICLE																						
12831	Col5a1	collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]						GOCC_EXTRACELLULAR_SPACE																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT					GOBP_REGULATION_OF_CELL_DIFFERENTIATION							GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																					GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE				GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS						GOBP_CELL_ADHESION		GOBP_SKELETAL_SYSTEM_DEVELOPMENT															
12950	Hapln1	hyaluronan and proteoglycan link protein 1 [Source:MGI Symbol;Acc:MGI:1337006]						GOCC_EXTRACELLULAR_SPACE																												GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																																						GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE											GOBP_CELL_ADHESION		GOBP_SKELETAL_SYSTEM_DEVELOPMENT															
64075	Smoc1	SPARC related  modular calcium binding 1 [Source:MGI Symbol;Acc:MGI:1929878]						GOCC_EXTRACELLULAR_SPACE																														GOBP_REGULATION_OF_CELL_DIFFERENTIATION																																				GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE											GOBP_CELL_ADHESION																	
17313	Mgp	matrix Gla protein [Source:MGI Symbol;Acc:MGI:96976]						GOCC_EXTRACELLULAR_SPACE																																				GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT											GOBP_TUBE_DEVELOPMENT																			GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE													GOBP_SKELETAL_SYSTEM_DEVELOPMENT											GOBP_TUBE_MORPHOGENESIS				
235130	Adamts15	ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:MGI Symbol;Acc:MGI:2449569]						GOCC_EXTRACELLULAR_SPACE																																																					GOCC_CELL_SURFACE													GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE					GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																							
76293	Mfap4	microfibrillar-associated protein 4 [Source:MGI Symbol;Acc:MGI:1342276]						GOCC_EXTRACELLULAR_SPACE																																																								GOBP_RESPONSE_TO_ABIOTIC_STIMULUS										GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE											GOBP_CELL_ADHESION																	
12816	Col12a1	collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]						GOCC_EXTRACELLULAR_SPACE																																																																		GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE					GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS						GOBP_CELL_ADHESION																	
11576	Afp	alpha fetoprotein [Source:MGI Symbol;Acc:MGI:87951]						GOCC_EXTRACELLULAR_SPACE																																																																																														
109323	C1qtnf7	C1q and tumor necrosis factor related protein 7 [Source:MGI Symbol;Acc:MGI:1925911]						GOCC_EXTRACELLULAR_SPACE																																																																																														
14778	Gpx3	glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]						GOCC_EXTRACELLULAR_SPACE																																																																																														
109222	Rarres1	retinoic acid receptor responder (tazarotene induced) 1 [Source:MGI Symbol;Acc:MGI:1924461]						GOCC_EXTRACELLULAR_SPACE																																																																																														
329093	Cpa6	carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]						GOCC_EXTRACELLULAR_SPACE																																																																																														
76703	Cpb1	carboxypeptidase B1 [Source:MGI Symbol;Acc:MGI:1923953]						GOCC_EXTRACELLULAR_SPACE																																																																																														
241639	Fermt1	fermitin family member 1 [Source:MGI Symbol;Acc:MGI:2443583]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT		GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION									GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS				GOCC_PLASMA_MEMBRANE_REGION													GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION					GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY															GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION				GOBP_LOCOMOTION		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS											GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION							GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS										
12534	Cdk1	cyclin dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS															GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT											GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT									GOBP_RESPONSE_TO_NITROGEN_COMPOUND																GOBP_POSITIVE_REGULATION_OF_TRANSPORT				GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION																								GOBP_GROWTH					
66402	Sln	sarcolipin [Source:MGI Symbol;Acc:MGI:1913652]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT				GOBP_REGULATION_OF_SYSTEM_PROCESS				GOBP_MONOATOMIC_ION_TRANSPORT												GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT				GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_METAL_ION_TRANSPORT																						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT													GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
18997	Pou4f2	POU domain, class 4, transcription factor 2 [Source:MGI Symbol;Acc:MGI:102524]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT						GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_GENERATION_OF_NEURONS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_RESPONSE_TO_NITROGEN_COMPOUND											GOBP_RESPONSE_TO_ABIOTIC_STIMULUS					GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOBP_LOCOMOTION		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_NEURON_DEVELOPMENT						GOBP_REGULATION_OF_LOCOMOTION									GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS					GOBP_GROWTH		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_RESPONSE_TO_LIPID
12189	Brca1	breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT						GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS									GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT											GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS			GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_TUBE_DEVELOPMENT									GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION			GOBP_POSITIVE_REGULATION_OF_TRANSPORT										GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS													GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS					GOBP_GROWTH	GOBP_TUBE_MORPHOGENESIS				GOBP_RESPONSE_TO_LIPID
20356	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_GENERATION_OF_NEURONS	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY					GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_CELL_MIGRATION		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_CELL_MOTILITY				GOBP_TUBE_DEVELOPMENT				GOBP_HEAD_DEVELOPMENT					GOBP_RESPONSE_TO_ABIOTIC_STIMULUS				GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY		GOBP_LOCOMOTION		GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_NEURON_DEVELOPMENT		GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS				GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION												GOBP_GROWTH	GOBP_TUBE_MORPHOGENESIS	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
50501	Prok2	prokineticin 2 [Source:MGI Symbol;Acc:MGI:1354178]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOMF_SIGNALING_RECEPTOR_BINDING		GOBP_REGULATION_OF_SYSTEM_PROCESS						GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY											GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT								GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING														GOBP_TUBE_DEVELOPMENT			GOBP_MUSCLE_SYSTEM_PROCESS												GOBP_LOCOMOTION									GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS											GOBP_MUSCLE_CONTRACTION								GOBP_TUBE_MORPHOGENESIS				
22062	Trp73	transformation related protein 73 [Source:MGI Symbol;Acc:MGI:1336991]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS							GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT					GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT											GOBP_TUBE_DEVELOPMENT																	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																									GOBP_GROWTH	GOBP_TUBE_MORPHOGENESIS				
231633	Tmem119	transmembrane protein 119 [Source:MGI Symbol;Acc:MGI:2385228]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS								GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS											GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT																												GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION					GOBP_ANIMAL_ORGAN_MORPHOGENESIS									GOBP_SKELETAL_SYSTEM_DEVELOPMENT					GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS										
66175	Mustn1	musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																				GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION					GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT																													GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION														GOBP_SKELETAL_SYSTEM_DEVELOPMENT										GOBP_GROWTH					
70584	Pak4	p21 (RAC1) activated kinase 4 [Source:MGI Symbol;Acc:MGI:1917834]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS								GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_GENERATION_OF_NEURONS										GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT				GOBP_INTRACELLULAR_SIGNALING_CASSETTE							GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT											GOBP_TUBE_DEVELOPMENT																						GOBP_NEURON_DEVELOPMENT		GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																			GOBP_TUBE_MORPHOGENESIS				
15415	Hoxb7	homeobox B7 [Source:MGI Symbol;Acc:MGI:96188]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS								GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																																					GOBP_TUBE_DEVELOPMENT																							GOBP_ANIMAL_ORGAN_MORPHOGENESIS									GOBP_SKELETAL_SYSTEM_DEVELOPMENT											GOBP_TUBE_MORPHOGENESIS				
106512	Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans) [Source:MGI Symbol;Acc:MGI:2146785]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																																			GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																			GOBP_LOCOMOTION													GOBP_REGULATION_OF_LOCOMOTION																			
56490	Zbtb20	zinc finger and BTB domain containing 20 [Source:MGI Symbol;Acc:MGI:1929213]								GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																																																																																												
242653	Cldn19	claudin 19 [Source:MGI Symbol;Acc:MGI:3033992]										GOBP_REGULATION_OF_TRANSPORT			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION														GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOCC_PLASMA_MEMBRANE_REGION														GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																			GOBP_LOCOMOTION													GOBP_REGULATION_OF_LOCOMOTION		GOBP_CELL_ADHESION																	
20928	Abcc9	ATP-binding cassette, sub-family C member 9 [Source:MGI Symbol;Acc:MGI:1352630]										GOBP_REGULATION_OF_TRANSPORT				GOBP_REGULATION_OF_SYSTEM_PROCESS				GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL			GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_INTRACELLULAR_SIGNALING_CASSETTE									GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_MONOATOMIC_CATION_TRANSPORT				GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_METAL_ION_TRANSPORT				GOBP_RESPONSE_TO_ABIOTIC_STIMULUS			GOBP_REGULATION_OF_TUBE_SIZE	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY			GOBP_REGULATION_OF_BLOOD_PRESSURE				GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY			GOBP_ANIMAL_ORGAN_MORPHOGENESIS		GOCC_SECRETORY_VESICLE	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE						GOBP_MUSCLE_CONTRACTION			GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	GOBP_REGULATION_OF_BLOOD_CIRCULATION	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
11517	Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1 [Source:MGI Symbol;Acc:MGI:108449]										GOBP_REGULATION_OF_TRANSPORT							GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_MONOATOMIC_ION_TRANSPORT				GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION							GOCC_PLASMA_MEMBRANE_REGION	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT					GOBP_INTRACELLULAR_SIGNALING_CASSETTE									GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS				GOBP_MONOATOMIC_CATION_TRANSPORT		GOMF_PEPTIDE_RECEPTOR_ACTIVITY				GOBP_METAL_ION_TRANSPORT	GOCC_CELL_SURFACE								GOBP_POSITIVE_REGULATION_OF_TRANSPORT													GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT													GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
16538	Kcns1	K+ voltage-gated channel, subfamily S, 1 [Source:MGI Symbol;Acc:MGI:1197019]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT									GOBP_REGULATION_OF_MEMBRANE_POTENTIAL			GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT						GOBP_METAL_ION_TRANSPORT															GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT											GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
241794	Kcng1	potassium voltage-gated channel, subfamily G, member 1 [Source:MGI Symbol;Acc:MGI:3616086]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT									GOBP_REGULATION_OF_MEMBRANE_POTENTIAL			GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT						GOBP_METAL_ION_TRANSPORT															GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT											GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
170790	Mlc1	megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human) [Source:MGI Symbol;Acc:MGI:2157910]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT											GOCC_PLASMA_MEMBRANE_REGION	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT																		GOBP_RESPONSE_TO_ABIOTIC_STIMULUS					GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																											GOBP_RESPONSE_TO_LIPID
16533	Kcnmb1	potassium large conductance calcium-activated channel, subfamily M, beta member 1 [Source:MGI Symbol;Acc:MGI:1334203]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT												GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOBP_CIRCULATORY_SYSTEM_PROCESS												GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT						GOBP_METAL_ION_TRANSPORT							GOBP_REGULATION_OF_TUBE_SIZE		GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY						GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT											GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_RESPONSE_TO_LIPID
217154	Stac2	SH3 and cysteine rich domain 2 [Source:MGI Symbol;Acc:MGI:2144518]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT												GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT				GOBP_MUSCLE_SYSTEM_PROCESS											GOBP_POSITIVE_REGULATION_OF_TRANSPORT													GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT								GOBP_MUSCLE_CONTRACTION					GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
16499	Kcnab3	potassium voltage-gated channel, shaker-related subfamily, beta member 3 [Source:MGI Symbol;Acc:MGI:1336208]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT												GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT														GOBP_TRANSMEMBRANE_TRANSPORT								GOBP_MONOATOMIC_CATION_TRANSPORT						GOBP_METAL_ION_TRANSPORT															GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT											GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
58187	Cldn10	claudin 10 [Source:MGI Symbol;Acc:MGI:1913101]										GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT																																																																	GOBP_CELL_ADHESION										GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT							
